taxpayer_id,name,income,declared_tax,paid_tax,deductions,filing_status,year
219,Kibet Kenyatta,4589554,1345620,1345620,559854,Single,2024
220,Otieno Kirui,1866065,536960,536960,-514745,Single,2022
221,Otieno Kipkemoi,4945825,1404778,1404778,878293,Married,2024
222,Odhiambo Kemboi,909081,252978,252978,12964,Head of Household,2024
223,Omondi Ngugi,3706344,781713,781713,107821,Single,2023
224,Cheruiyot Kimutai,12953621,2995777,0,1033095,Married,2022
225,Otieno Wanjala,1649913,756828,756828,166483,Head of Household,2022
226,Rotich Bett,1383214,172935,172935,5432,Married,2023
227,Ruto Owino,2266937,269061,269061,439953,Married,2023
228,Keter Kiprono,4307596,1205058,1205058,198106,Head of Household,2023
229,Kiprop Ngugi,1692411,386842,386842,468821,Head of Household,2023
230,Odhiambo Nyong'o,2623393,671872,671872,608701,Single,2024
231,Kiplangat Mwangi,2946132,481227,481227,400697,Married,2024
232,Kipchoge Wanjala,3980193,1931135,1931135,54944,Head of Household,2024
233,Kosgei Kamau,1334312,375023,375023,88909,Married,2024
234,Wambui Rudisha,2028236,585807,585807,62106,Married,2023
235,Keter Kamau,276696,58334,58334,26725,Head of Household,2023
236,Mutua Kibaki,2774097,283250,283250,785677,Married,2023
237,Rotich Kimutai,4350796,955549,955549,881797,Married,2023
238,Muthoni Kemboi,27030071,7899952,7899952,21916,Head of Household,2022
239,Kiprop Bett,4736217,640870,640870,671905,Married,2023
240,Ruto Lagat,4376382,3108669,3108669,297748,Single,2023
241,Kipchoge Ngugi,23403813,3779023,0,1573465,Head of Household,2022
242,Muthoni Wanjala,4719300,644169,644169,399838,Head of Household,2022
243,Cherono Kiprono,11849104,1570647,1570647,896623,Single,2024
244,Muthoni Muchiri,3266043,756220,756220,102655,Single,2023
245,Nyambura Kipchoge,3835934,1144871,1144871,-192281,Married,2023
246,Kariuki Ochieng,483698,49091,49091,131729,Married,2023
247,Kimani Sang,2155995,343636,343636,-208467,Head of Household,2022
248,Wanjiku Gitau,4807353,896544,896544,869867,Single,2024
249,Kariuki Kemboi,4635631,1231127,1231127,775424,Head of Household,2023
250,Maina Korir,1536019,291928,291928,95896,Married,2024
251,Nyambura Bett,35301523,4797204,4797204,655297,Single,2023
252,Muthoni Korir,2457189,311327,311327,218281,Married,2023
253,Kariuki Kipkemoi,2706318,514250,514250,501692,Head of Household,2023
254,Omondi Kuria,4253576,1173410,1173410,261258,Head of Household,2023
255,Rotich Wanjala,4071344,410416,410416,4789358,Head of Household,2024
256,Kibet Moi,4292089,796631,796631,41971,Single,2023
257,Nyambura Muchiri,360406,45916,45916,44673,Single,2023
258,Muthoni Rudisha,43489814,7689932,0,9185491,Single,2023
259,Muthoni Kipkemoi,25676265,3234510,0,6195005,Married,2022
260,Gathoni Mutai,40397792,7835982,0,9819382,Single,2023
261,Kimani Muchiri,2255683,451548,451548,224946,Head of Household,2022
262,Omondi Kipchoge,3848792,559947,559947,665447,Head of Household,2023
263,Akinyi Kiprotich,499289,126336,126336,-703975,Single,2024
264,Odinga Rotich,17114615,2509696,0,2172108,Head of Household,2023
265,Maina Ondiek,30391260,6870557,0,4269204,Single,2022
266,Gathoni Kamau,770713,78844,78844,198284,Single,2024
267,Chepkoech Mutai,2587429,567937,567937,12620,Head of Household,2024
268,Gathoni Kipchoge,38820795,8779271,0,3221109,Single,2022
269,Omondi Gitau,1586632,164634,164634,359740,Married,2024
270,Muthoni Mwangi,4652521,1891065,1891065,1200415,Married,2022
271,Chebet Mutai,3561968,411060,411060,292159,Head of Household,2023
272,Maina Kiprotich,392804,78086,78086,74477,Single,2022
273,Kiprop Mwangi,3118595,706135,706135,852060,Single,2022
274,Odhiambo Karanja,1126380,166152,166152,149153,Single,2022
275,Cherono Muchiri,1506915,192120,192120,37509,Married,2023
276,Njoroge Rudisha,3947871,619649,619649,297447,Married,2022
277,Maina Kipkemoi,2329859,613722,613722,573053,Single,2024
278,Keter Wanjala,4286978,1171911,1171911,4457804,Single,2023
279,Omondi Njuguna,725861,174260,174260,193092,Single,2023
280,Muthoni Kiprotich,2705744,797851,797851,332300,Single,2023
281,Wambui Kimutai,1277438,195554,195554,312045,Single,2023
282,Mutua Kipkemoi,22711532,3797197,0,3486199,Married,2024
283,Gathoni Owino,4649376,1257499,1257499,804506,Single,2022
284,Otieno Ngugi,2293717,232571,232571,470650,Married,2022
285,Kiplangat Rotich,2870193,1481533,1481533,525819,Single,2023
286,Wambui Wanjala,4457823,912994,912994,282125,Single,2024
287,Wanjiku Lagat,373716,98115,98115,83560,Single,2023
288,Odhiambo Korir,3953294,569157,569157,73103,Single,2023
289,Wangari Kibaki,2448328,428968,428968,290404,Head of Household,2023
290,Cherono Moi,294796,85371,85371,19955,Single,2024
291,Omondi Kemboi,3931623,467356,467356,697165,Head of Household,2024
292,Chepkoech Kipchoge,1898363,199641,199641,467065,Married,2023
293,Wambui Nyong'o,1970648,272863,272863,92575,Single,2022
294,Njoroge Kirui,1508400,372824,372824,246595,Head of Household,2022
295,Odinga Kamau,4555002,1351875,1351875,343041,Married,2023
296,Njeri Ondiek,4716396,3165725,3165725,1323235,Married,2024
297,Kiplangat Wanjala,17704473,4445541,0,3584522,Head of Household,2024
298,Mutua Nyong'o,926155,187033,187033,161178,Married,2023
299,Kiprop Rudisha,1414363,231058,231058,170650,Single,2022
300,Kipchoge Kibaki,4620287,721201,721201,328933,Head of Household,2023
301,Kibet Kemboi,2767205,634713,634713,-709213,Married,2022
302,Muthoni Mutai,4988958,1409900,1409900,731296,Single,2023
303,Keter Rotich,1526697,1217183,1217183,122289,Married,2022
304,Kosgei Ngugi,4130692,437672,437672,431339,Head of Household,2022
305,Odinga Njuguna,3093531,788455,788455,774184,Single,2023
306,Chepkoech Kiprotich,475618,85953,85953,79484,Head of Household,2022
307,Akinyi Ouma,2371825,524119,524119,-940040,Head of Household,2022
308,Kamau Nyong'o,1619798,483298,483298,214333,Married,2022
309,Keter Njuguna,38355421,10368253,0,2613867,Married,2023
310,Kibet Kibaki,2379568,363083,363083,-631886,Married,2023
311,Kiprop Kimutai,4537887,921453,921453,623657,Head of Household,2024
312,Ruto Kamau,3387243,710713,710713,4089260,Head of Household,2022
313,Odinga Nyong'o,2371391,511473,511473,611644,Single,2023
314,Muthoni Moi,3631051,871510,871510,394354,Single,2023
315,Auma Kuria,2960749,790560,790560,735723,Head of Household,2022
316,Njeri Owino,1639638,242445,242445,1973916,Married,2022
317,Jelimo Ouma,2212260,528498,528498,96229,Married,2023
318,Kamau Sigei,49703779,11835242,0,9116535,Married,2024
319,Omondi Kipchoge,3635656,615959,615959,214716,Head of Household,2022
320,Kiplangat Moi,36111282,10061023,0,2896476,Married,2024
321,Kamau Mwangi,605910,120373,120373,141315,Married,2023
322,Njoroge Kibaki,4577242,1252209,1252209,113851,Head of Household,2022
323,Kibet Kiprotich,4778882,1171210,1171210,374545,Single,2024
324,Gathoni Ondiek,4716465,785521,785521,740970,Single,2023
325,Ruto Rudisha,1564352,220708,220708,143363,Married,2022
326,Wanjiku Karanja,2770982,818733,818733,231651,Single,2023
327,Odinga Muchiri,48747739,12300902,0,3507520,Single,2023
328,Njeri Kiprono,2950345,601344,601344,152530,Head of Household,2024
329,Kibet Korir,2971122,1430209,1430209,742977,Married,2024
330,Odinga Muchiri,18055218,5108980,5108980,494584,Married,2022
331,Kosgei Karanja,666653,277389,277389,168955,Single,2022
332,Kiplangat Kenyatta,4497165,1071513,1071513,484491,Single,2023
333,Chebet Sigei,532335,148486,148486,33844,Head of Household,2022
334,Jelimo Owino,4300638,868665,868665,920445,Married,2024
335,Auma Mutai,3525190,764659,764659,16737,Single,2023
336,Odinga Rotich,3663527,721312,721312,368782,Single,2024
337,Wanjiku Rudisha,4616324,2367117,2367117,329934,Head of Household,2024
338,Nyambura Sang,1379293,263863,263863,9643,Married,2024
339,Muthoni Ngugi,3811784,949195,949195,159990,Head of Household,2024
340,Rotich Gitau,2848844,841840,841840,323915,Married,2024
341,Chepkoech Kemboi,13593221,2816353,0,3349559,Married,2024
342,Akinyi Owino,4631711,1387004,1387004,332917,Single,2023
343,Muthoni Rotich,4026037,603573,603573,945622,Single,2023
344,Akinyi Kiprotich,43251162,11481233,0,8526333,Single,2024
345,Rotich Kiprotich,38503595,5617121,0,5106382,Married,2022
346,Wambui Kirui,4562952,1324207,1324207,5337774,Head of Household,2024
347,Muthoni Sang,4122863,2767565,2767565,410415,Single,2023
348,Odinga Mutai,969364,97884,97884,13732,Head of Household,2024
349,Cheruiyot Bett,1043178,260466,260466,1688660,Married,2023
350,Otieno Kenyatta,4019758,1129434,1129434,-250668,Single,2022
351,Kamau Kirui,3562153,383102,383102,747078,Married,2024
352,Maina Kipchoge,3701297,652108,652108,4405764,Married,2022
353,Mutua Kenyatta,2542236,746387,746387,76883,Single,2023
354,Kiprop Kimutai,4606224,1335249,1335249,198979,Single,2024
355,Njeri Kamau,687641,121216,121216,57646,Head of Household,2023
356,Kariuki Lagat,3252783,551620,551620,917234,Head of Household,2023
357,Akinyi Owino,3977950,916157,916157,4699515,Head of Household,2024
358,Ruto Kamau,15288817,2625922,2625922,686421,Head of Household,2023
359,Rotich Gitau,1355991,172821,172821,-325935,Head of Household,2022
360,Kipchoge Ngugi,7650991,2076263,2076263,186771,Head of Household,2022
361,Chebet Kipkemoi,3856548,548997,548997,422350,Head of Household,2023
362,Kiplangat Kenyatta,1922962,231570,231570,33120,Married,2024
363,Kamau Nyong'o,45318203,9062137,0,76137,Married,2023
364,Cherono Rotich,3857966,601749,601749,733876,Single,2024
365,Chebet Karanja,1256637,275976,275976,149085,Single,2022
366,Kimani Ngugi,437073,191391,191391,34809,Head of Household,2024
367,Odhiambo Sigei,3750330,573674,573674,625958,Head of Household,2023
368,Odinga Lagat,2569392,1865048,1865048,472124,Head of Household,2023
369,Keter Muchiri,3791365,517610,517610,4552370,Single,2022
370,Kiprop Kuria,745010,174072,174072,50101,Head of Household,2023
371,Kamau Rudisha,4515738,726744,726744,425,Married,2024
372,Mutua Njuguna,27712254,3131067,0,4555852,Single,2023
373,Nyambura Muchiri,4225356,979393,979393,7805,Head of Household,2023
374,Wangari Bett,3490883,2769743,2769743,914468,Head of Household,2024
375,Kariuki Gitau,3212076,929243,929243,311736,Single,2023
376,Wambui Sigei,4937487,682195,682195,-842307,Married,2023
377,Odhiambo Korir,47661166,4817156,4817156,86030,Head of Household,2022
378,Ruto Korir,4143309,947279,947279,576188,Head of Household,2022
379,Mutua Sang,3013829,894145,894145,690607,Married,2024
380,Keter Ochieng,2208419,1301119,1301119,640506,Head of Household,2024
381,Njeri Ochieng,1711846,465747,465747,62396,Single,2023
382,Cheruiyot Sigei,2541230,527412,527412,55386,Married,2022
383,Cheruiyot Karanja,2673246,271741,271741,420924,Head of Household,2023
384,Gathoni Owino,470642,70384,70384,59168,Single,2023
385,Kiplangat Mutai,42997350,8267028,0,9124502,Single,2024
386,Nyambura Gitau,24948368,5587473,0,1009648,Married,2023
387,Maina Kiprono,4222910,975908,975908,517179,Single,2022
388,Kiplangat Nyong'o,4624971,871593,871593,451428,Married,2024
389,Chebet Wanjala,2500892,710520,710520,347725,Single,2023
390,Maina Kimutai,4218917,1259720,1259720,17684,Married,2023
391,Chepkoech Karanja,1462605,264461,264461,170281,Head of Household,2022
392,Odinga Kibaki,395865,271838,271838,74928,Married,2022
393,Wangari Owino,4948877,3008986,3008986,492233,Single,2022
394,Kiplangat Lagat,3261835,766434,766434,598796,Married,2023
395,Kariuki Sigei,22186499,5639228,0,6040118,Single,2023
396,Omondi Kipchoge,368220,100245,100245,105227,Married,2022
397,Kiplangat Owino,793854,156502,156502,206534,Head of Household,2023
398,Keter Rotich,2647040,707813,707813,157291,Head of Household,2022
399,Jelimo Korir,3837117,701477,701477,215228,Married,2023
400,Kosgei Sigei,4072007,512532,512532,386573,Married,2022
401,Kosgei Ondiek,1625097,469203,469203,209588,Married,2024
402,Kipchoge Moi,4941818,584093,584093,225461,Head of Household,2024
403,Auma Njuguna,33156444,8524297,8524297,624635,Single,2022
404,Njoroge Wanjala,3292521,597127,597127,247464,Single,2023
405,Auma Kenyatta,2453961,345418,345418,393814,Single,2024
406,Gathoni Njuguna,567896,79963,79963,106528,Married,2024
407,Kimani Rotich,1036821,197059,197059,50704,Single,2022
408,Cheruiyot Ochieng,779085,143176,143176,-344719,Married,2024
409,Njeri Karanja,1352642,374312,374312,175162,Married,2022
410,Odinga Ochieng,4781869,1336012,1336012,836460,Married,2024
411,Rotich Muchiri,2403707,548268,548268,457346,Single,2024
412,Wangari Sang,530760,141900,141900,120600,Married,2023
413,Cherono Njuguna,31385822,3567378,0,9196757,Head of Household,2024
414,Kariuki Ouma,3426126,2270563,2270563,334112,Head of Household,2023
415,Kimani Korir,538326,58775,58775,77932,Married,2022
416,Kipchoge Lagat,2565948,1163312,1163312,552773,Married,2022
417,Kiprop Gitau,4040466,582527,582527,415229,Single,2024
418,Odinga Kamau,2606853,600623,600623,129023,Head of Household,2022
419,Kimani Rotich,46545886,11656507,0,673059,Married,2022
420,Omondi Mutai,2421407,725877,725877,533254,Married,2024
421,Kosgei Muchiri,1446741,265208,265208,208338,Head of Household,2022
422,Gathoni Moi,2417934,484493,484493,2566337,Head of Household,2022
423,Odinga Owino,44493803,11814256,0,456547,Married,2022
424,Wanjiku Rudisha,4638368,708061,708061,840980,Head of Household,2024
425,Otieno Lagat,41079705,8784034,0,9040061,Married,2023
426,Chebet Kirui,2513884,597960,597960,446399,Married,2024
427,Njoroge Kuria,1055330,241923,241923,81591,Head of Household,2024
428,Gathoni Lagat,1537920,194343,194343,385829,Head of Household,2023
429,Nyambura Kiprono,4150073,509500,509500,26014,Head of Household,2023
